Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),60730.17,480.00,121344.00,3826001.00,518.44,3036.10,3038.20,32934.00,67465.00,91685.00,112719.60,118708.50,121224.96,39524.65
Usage Reasoning Tokens (tokens),230.73,0.00,1859.00,14536.00,0.00,0.00,0.00,0.00,0.00,351.50,879.20,1108.00,1790.18,442.14
Usage Total Tokens (tokens),61778.75,509.00,121416.00,3892061.00,540.00,4759.10,5161.00,33629.50,67711.00,93879.50,113376.40,119637.40,121284.56,39192.37

Metric,Value
Benchmark Duration (sec),878.26
Input Token Throughput (tokens/sec),4251.10
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),73.40
Overall Usage Prompt Cache Read % (%),91.59
Request Count,63.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),92.00
Total Input Sequence Length (tokens),3826001.00
Total Output Sequence Length (tokens),66060.00
Total Output Tokens (tokens),51524.00
Total Reasoning Tokens (tokens),14536.00
Total Token Throughput (tokens/sec),4324.50
Total Usage Completion Tokens (tokens),66060.00
Total Usage Prompt Cache Read Tokens (tokens),3504322.00
Total Usage Prompt Tokens (tokens),3826001.00
Total Usage Reasoning Tokens (tokens),14536.00
Total Usage Total Tokens (tokens),3892061.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
