Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),835.55,29.00,4045.00,31751.00,37.51,69.00,97.90,185.75,530.00,945.00,2191.30,2824.45,3915.13,956.15
Usage Prompt Cache Read Tokens (tokens),70645.92,0.00,120350.00,2684545.00,0.00,0.00,0.00,54073.50,73578.00,105019.00,113558.10,118205.25,119768.73,39688.16
Usage Prompt Tokens (tokens),76947.87,481.00,121348.00,2924019.00,1427.46,3039.85,3040.70,64875.50,77800.50,109536.25,118307.50,120471.75,121276.96,37104.54
Usage Reasoning Tokens (tokens),220.61,0.00,2671.00,8383.00,0.00,0.00,0.00,0.00,0.00,0.00,731.60,1732.95,2353.17,583.11
Usage Total Tokens (tokens),77783.42,510.00,121420.00,2955770.00,1920.07,4771.50,5567.30,65196.50,78393.50,110685.25,119139.80,121160.40,121341.56,36994.87

Metric,Value
Benchmark Duration (sec),888.24
Input Token Throughput (tokens/sec),3248.90
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),35.28
Overall Usage Prompt Cache Read % (%),91.81
Request Count,51.00
Request Throughput (requests/sec),0.06
Theoretical Prefix Cache Hit (%),92.43
Total Input Sequence Length (tokens),2924019.00
Total Output Sequence Length (tokens),31751.00
Total Output Tokens (tokens),23368.00
Total Reasoning Tokens (tokens),8383.00
Total Token Throughput (tokens/sec),3284.18
Total Usage Completion Tokens (tokens),31751.00
Total Usage Prompt Cache Read Tokens (tokens),2684545.00
Total Usage Prompt Tokens (tokens),2924019.00
Total Usage Reasoning Tokens (tokens),8383.00
Total Usage Total Tokens (tokens),2955770.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
